kind,name,latitude,longitude,color
避難所,渦が森小学校,34.7389833,135.2503494,#ff00ff
避難所,幼保連携型認定こども園同朋住吉台こども園,34.7386169,135.2567989,#ff00ff
避難所,六甲アイランド小学校,34.6888558,135.2744986,#ff00ff
避難所,向洋中学校,34.6899361,135.2740625,#ff00ff
避難所,六甲アイランド高校,34.6848339,135.2714269,#ff00ff
避難所,福池小学校,34.7212831,135.2787669,#ff00ff
避難所,本山南小学校,34.7235717,135.2824636,#ff00ff
避難所,神戸大学白鴎寮,34.7235202,135.2876408,#ff00ff
避難所,向洋小学校,34.6876808,135.2644942,#ff00ff
避難所,甲南小学校,34.7222717,135.2639961,#ff00ff
避難所,神大附属中等教育学校,34.7320231,135.2544994,#ff00ff
避難所,本山南中学校,34.7231161,135.2705342,#ff00ff
避難所,住吉中学校,34.7258628,135.2587214,#ff00ff
避難所,御影中学校,34.7159417,135.2535331,#ff00ff
避難所,魚崎中学校,34.71312,135.2790506,#ff00ff
避難所,東灘体育館,34.714666,135.278116,#ff00ff
避難所,鶴甲小学校,34.7335836,135.2363925,#ff00ff
避難所,神戸大学農学部,34.72464,135.233272,#ff00ff
避難所,神戸大学工学部,34.726994,135.237488,#ff00ff
避難所,神戸大学大学院人間発達環境学研究科,34.73345244,135.2345373,#ff00ff
避難所,神戸松蔭女子学院大学,34.72736,135.2295239,#ff00ff
避難所,成徳小学校,34.7156136,135.2422119,#ff00ff
避難所,高羽小学校,34.7232671,135.2394699,#ff00ff
避難所,親和女子高校・親和中学校,34.726756,135.242026,#ff00ff
避難所,西郷小学校,34.7069712,135.232752,#ff00ff
避難所,六甲小学校,34.7176856,135.2333847,#ff00ff
避難所,福住小学校,34.7131542,135.2184924,#ff00ff
避難所,神戸高校,34.7183517,135.2139531,#ff00ff
避難所,王子スポーツセンター,34.7112438,135.2127184,#ff00ff
避難所,西灘小学校,34.7078003,135.2277828,#ff00ff
避難所,原田中学校,34.707957,135.228747,#ff00ff
避難所,稗田小学校,34.7113389,135.2224081,#ff00ff
避難所,美野丘小学校,34.7230792,135.22118,#ff00ff
避難所,上野中学校,34.71930199,135.2228913,#ff00ff
避難所,摩耶小学校,34.7157272,135.2205719,#ff00ff
避難所,灘小学校,34.7132556,135.2325461,#ff00ff
避難所,六甲山小学校,34.7573864,135.2322536,#ff00ff
避難所,鷹匠中学校,34.7201547,135.2438533,#ff00ff
避難所,烏帽子中学校,34.710672,135.2376273,#ff00ff
避難所,長峰中学校,34.7248011,135.222605,#ff00ff
避難所,灘の浜小学校,34.702005,135.223696,#ff00ff
避難所,上筒井小学校,34.70992246,135.2114173,#ff00ff
避難所,筒井台中学校,34.7093111,135.2100675,#ff00ff
避難所,葺合高校,34.7110108,135.2102842,#ff00ff
避難所,宮本小学校,34.7067197,135.2117731,#ff00ff
避難所,科学技術高校,34.7043033,135.2135256,#ff00ff
避難所,葺合中学校,34.7068444,135.2032542,#ff00ff
避難所,春日野小学校,34.70566147,135.206143,#ff00ff
避難所,なぎさ小学校,34.6977428,135.2110122,#ff00ff
避難所,渚中学校,34.7004675,135.2175697,#ff00ff
避難所,雲中小学校,34.7059667,135.2001544,#ff00ff
避難所,布引中学校,34.7094081,135.1991572,#ff00ff
避難所,中央小学校,34.7017422,135.1996908,#ff00ff
避難所,コミスタこうべ（生涯学習支援センター）,34.6982261,135.2046319,#ff00ff
避難所,葺合公民館,34.694983,135.204535,#ff00ff
避難所,磯上体育館,34.692182,135.199317,#ff00ff
避難所,こうべ市民福祉交流センター,34.6928637,135.2017676,#ff00ff
避難所,こうべ小学校,34.6935569,135.18247,#ff00ff
避難所,浄福寺,34.70016535,135.1881541,#ff00ff
避難所,海外移住と文化の交流センター,34.6974231,135.1846367,#ff00ff
避難所,神戸生田中学校,34.6899906,135.1856644,#ff00ff
避難所,山の手小学校,34.6906489,135.1757292,#ff00ff
避難所,中央図書館,34.6856249,135.1741492,#ff00ff
避難所,湊翔楠中学校,34.6839972,135.1716466,#ff00ff
避難所,中央体育館,34.6827886,135.1744294,#ff00ff
避難所,湊小学校,34.6768975,135.1808511,#ff00ff
避難所,産業振興センター,34.6806028,135.1817956,#ff00ff
避難所,こうべまちづくり会館,34.6860973,135.1829065,#ff00ff
避難所,義務教育学校港島学園,34.6696569,135.2140986,#ff00ff
避難所,神戸国際展示場,34.66373,135.2126072,#ff00ff
避難所,ワールド記念ホール,34.6639883,135.2101714,#ff00ff
避難所,ポートアイランドスポーツセンター,34.6631078,135.210735,#ff00ff
避難所,バンドー神戸青少年科学館,34.6659964,135.2182844,#ff00ff
避難所,神戸学院大学,34.6694625,135.2039939,#ff00ff
避難所,神戸祇園小学校,34.687911,135.166986,#ff00ff
避難所,ネイチャー　スタジオ,34.4123204,135.0954323,#ff00ff
避難所,建設局中央水環境センター鈴蘭台処理場,34.6984246,135.1482163,#ff00ff
避難所,友生支援学校,34.6862663,135.1603502,#ff00ff
避難所,夢野中学校,34.682073,135.153004,#ff00ff
避難所,夢野こどもホーム（一階地域交流スペース）,34.6835817,135.1562126,#ff00ff
避難所,夢野の丘小学校,34.6816692,135.1605583,#ff00ff
避難所,会下山小学校,34.6792201,135.1652133,#ff00ff
避難所,湊川中学校・楠高校,34.6799525,135.1641303,#ff00ff
避難所,神港橘高校,34.675209,135.156764,#ff00ff
避難所,兵庫大開小学校,34.67367,135.1663192,#ff00ff
避難所,水木小学絞,34.6703563,135.1594761,#ff00ff
避難所,兵庫中学校,34.6736533,135.169955,#ff00ff
避難所,明親小学校,34.6651625,135.1661081,#ff00ff
避難所,須佐野中学絞,34.66446,135.1697442,#ff00ff
避難所,和田岬小学校,34.65515,135.1754714,#ff00ff
避難所,兵庫工業高校,34.659555,135.1737856,#ff00ff
